fiscal_year,payroll_number,agency_name,agency_start_date,work_location_borough,title_description,leave_status_as_of_june_30,base_salary,pay_basis,regular_hours,regular_gross_paid,ot_hours,total_ot_paid,total_other_pay
2022,67,ADMIN FOR CHILDREN'S SVCS,2017-04-10T00:00:00.000,MANHATTAN,CHILD PROTECTIVE SPECIALIST,ACTIVE,60327.00,per Annum,1820,60161.66,16.5,670.46,1764.03
2022,67,ADMIN FOR CHILDREN'S SVCS,1996-06-23T00:00:00.000,MANHATTAN,*CERTIFIED LOCAL AREA NETWORK ADMINISTRATOR,ACTIVE,122075.00,per Annum,1820,121740.58,11,789.18,6107.13
2022,67,ADMIN FOR CHILDREN'S SVCS,2018-09-20T00:00:00.000,MANHATTAN,EXECUTIVE AGENCY COUNSEL,ACTIVE,198000.00,per Annum,1820,197457.52,0,0.00,0.00
2022,67,ADMIN FOR CHILDREN'S SVCS,2008-01-14T00:00:00.000,BROOKLYN,CHILD PROTECTIVE SPECIALIST,ACTIVE,60327.00,per Annum,1820,60161.66,20,706.17,4217.42
2022,67,ADMIN FOR CHILDREN'S SVCS,2022-05-23T00:00:00.000,QUEENS,CHILD PROTECTIVE SPECIALIST,ACTIVE,50757.00,per Annum,140,3893.68,0,0.00,0.00
2022,67,ADMIN FOR CHILDREN'S SVCS,2007-06-04T00:00:00.000,BRONX,CHILD PROTECTIVE SPECIALIST,ACTIVE,60327.00,per Annum,1820,60161.66,257.5,11562.46,30623.60
2022,67,ADMIN FOR CHILDREN'S SVCS,2017-04-17T00:00:00.000,MANHATTAN,CHILD WELFARE SPECIALIST,ACTIVE,60851.00,per Annum,1820,58632.86,0,0.00,1690.27
2022,67,ADMIN FOR CHILDREN'S SVCS,2021-08-23T00:00:00.000,BRONX,CHILD PROTECTIVE SPECIALIST,CEASED,50757.00,per Annum,840,23362.01,25.25,757.05,58.25
2022,67,ADMIN FOR CHILDREN'S SVCS,2017-06-26T00:00:00.000,RICHMOND,CHILD PROTECTIVE SPECIALIST,ACTIVE,60327.00,per Annum,1820,60161.66,34,1217.84,2343.95
2022,67,ADMIN FOR CHILDREN'S SVCS,2018-10-29T00:00:00.000,BRONX,CHILD PROTECTIVE SPECIALIST,ACTIVE,60327.00,per Annum,1820,60161.66,229.75,8789.87,1434.34
2022,67,ADMIN FOR CHILDREN'S SVCS,2016-05-16T00:00:00.000,BRONX,CHILD PROTECTIVE SPECIALIST,ACTIVE,60327.00,per Annum,1820,60161.66,53.75,1864.46,3174.37
2022,67,ADMIN FOR CHILDREN'S SVCS,2007-02-20T00:00:00.000,MANHATTAN,CHILD PROTECTIVE SPECIALIST SUPERVISOR,CEASED,67392.00,per Annum,546,14992.26,13.5,646.39,4361.40
2022,67,ADMIN FOR CHILDREN'S SVCS,2001-07-02T00:00:00.000,MANHATTAN,ADM MANAGER-NON-MGRL,ACTIVE,74123.00,per Annum,1820,73885.45,0,0.00,1764.36
2022,67,ADMIN FOR CHILDREN'S SVCS,1999-09-27T00:00:00.000,BROOKLYN,CHILD PROTECTIVE SPECIALIST SUPERVISOR,ACTIVE,86138.00,per Annum,1820,85901.92,108.25,5897.62,5281.29
2022,67,ADMIN FOR CHILDREN'S SVCS,2016-11-07T00:00:00.000,MANHATTAN,CITY RESEARCH SCIENTIST,ACTIVE,110000.00,per Annum,1820,109698.68,0,0.00,752.88
2022,67,ADMIN FOR CHILDREN'S SVCS,1996-06-23T00:00:00.000,MANHATTAN,ADMINISTRATIVE DIRECTOR OF SOCIAL SERVICES,ACTIVE,93459.00,per Annum,1820,93202.98,0,0.00,1417.00
2022,67,ADMIN FOR CHILDREN'S SVCS,2011-10-24T00:00:00.000,MANHATTAN,CHILD PROTECTIVE SPECIALIST,ON LEAVE,60327.00,per Annum,1591.5,52608.24,0,0.00,24773.10
2022,67,ADMIN FOR CHILDREN'S SVCS,2013-07-01T00:00:00.000,MANHATTAN,COMMUNITY ASSOCIATE,ACTIVE,49991.00,per Annum,1820,47790.15,0,0.00,0.00
2022,67,ADMIN FOR CHILDREN'S SVCS,2018-10-01T00:00:00.000,BRONX,YOUTH DEVELOPMENT SPECIALIST,CEASED,52877.00,per Annum,140,4201.16,0,0.00,0.00
2022,67,ADMIN FOR CHILDREN'S SVCS,2019-07-22T00:00:00.000,MANHATTAN,CHILD PROTECTIVE SPECIALIST,ON LEAVE,60327.00,per Annum,1645,56522.18,69.25,2925.66,447.43
2022,67,ADMIN FOR CHILDREN'S SVCS,2016-08-08T00:00:00.000,QUEENS,CHILD PROTECTIVE SPECIALIST,ACTIVE,60327.00,per Annum,1820,60161.66,254,9809.78,2432.87
2022,67,ADMIN FOR CHILDREN'S SVCS,2015-06-01T00:00:00.000,MANHATTAN,ADMINISTRATIVE STAFF ANALYST,ACTIVE,129158.00,per Annum,1820,147555.92,0,0.00,3510.36
2022,67,ADMIN FOR CHILDREN'S SVCS,2000-06-26T00:00:00.000,MANHATTAN,SUPERVISING SPECIAL OFFICER,ACTIVE,55906.00,per Annum,2080,55752.84,325,13169.23,2267.47
2022,67,ADMIN FOR CHILDREN'S SVCS,2022-02-28T00:00:00.000,BRONX,CHILD PROTECTIVE SPECIALIST,ACTIVE,50757.00,per Annum,560,15574.72,37.5,1118.17,16.50
2022,67,ADMIN FOR CHILDREN'S SVCS,1996-06-23T00:00:00.000,BROOKLYN,CHILD PROTECTIVE SPECIALIST SUPERVISOR,ACTIVE,92284.00,per Annum,1820,92031.16,2.75,146.40,4976.33
2022,67,ADMIN FOR CHILDREN'S SVCS,2006-06-05T00:00:00.000,MANHATTAN,CHILD PROTECTIVE SPECIALIST,CEASED,60327.00,per Annum,1711.35,56570.05,4,142.99,4715.34
2022,67,ADMIN FOR CHILDREN'S SVCS,1996-06-23T00:00:00.000,MANHATTAN,DIRECTOR OF FIELD OPERATIONS,ACTIVE,115927.00,per Annum,1820,115609.51,0,0.00,2220.80
2022,67,ADMIN FOR CHILDREN'S SVCS,2018-04-23T00:00:00.000,BROOKLYN,CHILD PROTECTIVE SPECIALIST,ACTIVE,60327.00,per Annum,1820,60161.66,46.25,1667.66,1785.16
2022,67,ADMIN FOR CHILDREN'S SVCS,1999-09-27T00:00:00.000,QUEENS,CHILD PROTECTIVE SPECIALIST,CEASED,54744.00,per Annum,0,0.00,0,0.00,10262.46
2022,67,ADMIN FOR CHILDREN'S SVCS,2000-06-05T00:00:00.000,MANHATTAN,CLERICAL ASSOCIATE,CEASED,37836.00,per Annum,200.52,4156.99,0,0.00,709.88
2022,67,ADMIN FOR CHILDREN'S SVCS,2007-12-03T00:00:00.000,MANHATTAN,CHILD PROTECTIVE SPECIALIST SUPERVISOR,ACTIVE,86096.00,per Annum,1820,85860.06,0,0.00,26067.13
2022,67,ADMIN FOR CHILDREN'S SVCS,2016-10-31T00:00:00.000,BRONX,CONGREG CARE SPEC - ACS,ACTIVE,42731.00,per Annum,1820,42613.99,0,0.00,0.00
2022,67,ADMIN FOR CHILDREN'S SVCS,1996-06-23T00:00:00.000,MANHATTAN,CHILD PROTECTIVE SPECIALIST,ACTIVE,60351.00,per Annum,1820,60185.59,0,0.00,4984.84
2022,67,ADMIN FOR CHILDREN'S SVCS,1996-06-23T00:00:00.000,BRONX,CHILD PROTECTIVE SPECIALIST SUPERVISOR,ACTIVE,67434.00,per Annum,1820,73945.24,406.25,21571.53,27928.19
2022,67,ADMIN FOR CHILDREN'S SVCS,2006-03-20T00:00:00.000,QUEENS,CHILD PROTECTIVE SPECIALIST,ACTIVE,60327.00,per Annum,1820,60161.66,0,0.00,29020.95
2022,67,ADMIN FOR CHILDREN'S SVCS,2016-06-06T00:00:00.000,MANHATTAN,SUPERVISOR OF NURSES,CEASED,95482.00,per Annum,400,17906.63,0,0.00,3284.53
2022,67,ADMIN FOR CHILDREN'S SVCS,2021-06-21T00:00:00.000,BRONX,SPECIAL OFFICER,ACTIVE,34834.00,per Annum,1920,31797.51,179,4581.66,3400.74
2022,67,ADMIN FOR CHILDREN'S SVCS,2016-08-08T00:00:00.000,BROOKLYN,CHILD PROTECTIVE SPECIALIST,ACTIVE,60327.00,per Annum,1820,60161.66,27,1273.21,2994.66
2022,67,ADMIN FOR CHILDREN'S SVCS,1996-06-23T00:00:00.000,MANHATTAN,CHILD WELFARE SPECIALIST,ACTIVE,65245.00,per Annum,1820,65066.30,643.25,33148.29,6083.11
2022,67,ADMIN FOR CHILDREN'S SVCS,2019-02-04T00:00:00.000,MANHATTAN,CHILD PROTECTIVE SPECIALIST,CEASED,60327.00,per Annum,1431.42,47316.61,33.75,1330.98,959.89
2022,67,ADMIN FOR CHILDREN'S SVCS,2005-08-01T00:00:00.000,MANHATTAN,CHILD PROTECTIVE SPECIALIST,ACTIVE,60327.00,per Annum,1820,60161.66,792.5,39862.72,33130.24
2022,67,ADMIN FOR CHILDREN'S SVCS,2000-02-28T00:00:00.000,BRONX,CHILD PROTECTIVE SPECIALIST,ACTIVE,60351.00,per Annum,1820,60185.59,0,0.00,26840.07
2022,67,ADMIN FOR CHILDREN'S SVCS,2017-10-16T00:00:00.000,BRONX,CHILD PROTECTIVE SPECIALIST,ACTIVE,60327.00,per Annum,1820,60161.66,241.5,9853.15,2570.22
2022,67,ADMIN FOR CHILDREN'S SVCS,2000-02-28T00:00:00.000,MANHATTAN,CHILD PROTECTIVE SPECIALIST,ACTIVE,60351.00,per Annum,1820,60185.59,2,71.52,10816.77
2022,67,ADMIN FOR CHILDREN'S SVCS,2006-07-10T00:00:00.000,BRONX,TELECOMMUNICATIONS ASSOCIATE,ACTIVE,60292.00,per Annum,1890,62208.13,0,0.00,5456.94
2022,67,ADMIN FOR CHILDREN'S SVCS,2019-01-02T00:00:00.000,MANHATTAN,SPECIAL ASSISTANT TO THE HUMAN RESOURCES ADMINISTRATOR,ACTIVE,143000.00,per Annum,1820,139865.72,0,0.00,2490.40
2022,67,ADMIN FOR CHILDREN'S SVCS,2006-06-05T00:00:00.000,MANHATTAN,CHILD WELFARE SPECIALIST SUPERVISOR,CEASED,81126.00,per Annum,490,21781.76,0,0.00,3862.16
2022,67,ADMIN FOR CHILDREN'S SVCS,2008-08-11T00:00:00.000,BRONX,CHILD PROTECTIVE SPECIALIST,ACTIVE,60327.00,per Annum,1820,60161.66,142,5455.20,26798.17
2022,67,ADMIN FOR CHILDREN'S SVCS,2022-05-23T00:00:00.000,QUEENS,CHILD PROTECTIVE SPECIALIST,ACTIVE,50757.00,per Annum,210,5173.04,0,0.00,0.00
