fiscal_year,payroll_number,agency_name,agency_start_date,work_location_borough,title_description,leave_status_as_of_june_30,base_salary,pay_basis,regular_hours,regular_gross_paid,ot_hours,total_ot_paid,total_other_pay
2024,67,ADMIN FOR CHILDREN'S SVCS,2009-03-23T00:00:00.000,MANHATTAN,CHILD PROTECTIVE SPECIALIST,ACTIVE,67899.00,per Annum,1820,65567.23,0,0.00,4402.89
2024,67,ADMIN FOR CHILDREN'S SVCS,2023-01-17T00:00:00.000,MANHATTAN,CONGREG CARE SPEC - ACS,ACTIVE,48094.00,per Annum,1890,47382.47,173.5,5225.58,4271.00
2024,67,ADMIN FOR CHILDREN'S SVCS,2023-07-17T00:00:00.000,MANHATTAN,COMPUTER SYSTEMS MANAGER,ACTIVE,236447.00,per Annum,1680,209928.11,0,0.00,4000.00
2024,67,ADMIN FOR CHILDREN'S SVCS,2015-01-05T00:00:00.000,MANHATTAN,CHILD WELFARE SPECIALIST,ACTIVE,70655.00,per Annum,1820,60671.49,6.5,256.73,3989.06
2024,67,ADMIN FOR CHILDREN'S SVCS,2005-08-22T00:00:00.000,MANHATTAN,COMPUTER AIDE-NON-SPVR,ACTIVE,74232.00,per Annum,1610,41912.85,42.25,1837.23,3969.47
2024,67,ADMIN FOR CHILDREN'S SVCS,2020-01-21T00:00:00.000,MANHATTAN,COMMUNITY ASSOCIATE,ACTIVE,49615.00,per Annum,1820,42717.49,46.5,1486.38,3909.26
2024,67,ADMIN FOR CHILDREN'S SVCS,2005-08-01T00:00:00.000,BRONX,CHILD PROTECTIVE SPECIALIST,ACTIVE,67973.00,per Annum,1400,50475.10,0,0.00,3856.10
2024,67,ADMIN FOR CHILDREN'S SVCS,2014-10-20T00:00:00.000,BROOKLYN,CHILD PROTECTIVE SPECIALIST,ACTIVE,67899.00,per Annum,1820,86464.31,73,5180.44,3812.87
2024,67,ADMIN FOR CHILDREN'S SVCS,2020-01-06T00:00:00.000,MANHATTAN,SPECIAL OFFICER,CEASED,40619.00,per Annum,720,15369.67,48,1705.00,3812.40
2024,67,ADMIN FOR CHILDREN'S SVCS,2014-05-05T00:00:00.000,MANHATTAN,ADMINISTRATIVE STAFF ANALYST,ACTIVE,171878.00,per Annum,1820,179126.40,0,0.00,3750.00
2024,67,ADMIN FOR CHILDREN'S SVCS,2012-04-30T00:00:00.000,QUEENS,CHILD WELFARE SPECIALIST,ACTIVE,66159.00,per Annum,1820,63887.22,0,0.00,3541.81
2024,67,ADMIN FOR CHILDREN'S SVCS,2019-07-22T00:00:00.000,BRONX,CHILD PROTECTIVE SPECIALIST,ACTIVE,67899.00,per Annum,1820,65567.23,85.25,4125.66,3525.97
2024,67,ADMIN FOR CHILDREN'S SVCS,1996-06-23T00:00:00.000,MANHATTAN,DIRECTOR OF FIELD OPERATIONS,CEASED,142273.00,per Annum,0,0.00,0,0.00,95736.99
